"CONCEPT"	"Used"	"UNIT"
"ambekan "	1	"dami "
"awi "	1	"leunjeur "
"awi"	0	"bébék "
"suluh"	1	"bébék "
"awi "	0	"dapur "
"bako "	1	"lémpéng "
"bawang "	1	"sihung "
"bilik "	1	"gebing "
"boéh"	1	"rirang "
"cau"	0	"sikat "
"cau"	0	"turuy "
"daun cau"	0	"ponggol "
"daun cau"	0	"kompét "
"eurih"	1	"jalon "
"gula"	1	"bonjor "
"injuk"	1	"kakab "
"jahé"	1	"rempang "
"jambé"	0	"manggar "
"kalapa"	0	"manggar "
"kalapa"	1	"hulu "
"kertas"	0	"lambar "
"papan"	0	"lambar "
"daun"	0	"lambar "
"konéng"	0	"solor "
"muncang"	0	"dampa "
"nangka"	0	"camplung "
"peuteuy"	0	"papan "
"peuteuy"	0	"hanggor "
"kembang"	0	"ranggeuy "
"peuteuy"	0	"ranggeuy "
"peuteuy"	1	"panon "
"samak"	0	"heulay "
"sangu"	0	"piring "
"sangu"	0	"boboko "
"sangu"	0	"bakul "
"sapatu"	0	"rampasan "
"suluh"	0	"hurun "
"tambang"	0	"batekan "
"uyah"	0	"huntu "
"uyah"	1	"gandu "
"gula"	1	"gandu "
"uyah"	0	"bata "
"sawah"	0	"kotak "
"jelema "	0	"urang "
